# AGNs_file: data/AGNs-2018-04-26.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
8947-3701 40.850743385722936 0.00043771511845643886 0.0004398569606721409 40.97033144047049 0.04777620488696652 0.4477434234041131 0.018788516568816478 0.0006895748942048887
8945-3703 39.86936542461488 0.0024993989186796618 0.0026328404450886634 40.21975285722198 2.058884629946828 0.6199248639037703 0.08961460701755063 0.004640078939149742
8597-3703 40.12281905673849 0.0014409312193257686 0.0014419899020827504 40.32412555158429 0.16776600340694514 0.4344238364109604 0.008426248380186142 0.0010984964820704899
9026-9101 40.65922416033433 0.0005919337255163295 0.0006145565490140795 40.983478707509015 0.051192746545345 0.5129693711057164 0.08129776150880864 0.0011770612135175715
9049-1901 41.549386494166285 0.0008837979436889124 0.000986130803601364 41.95567319616692 0.06287572399122757 0.7656453460066049 0.382887324954758 0.0030071908267232015
9002-12702 40.388858889366674 0.001884065581930526 0.001884065581930526 40.43858965796041 nan nan 0.08037358935657109 0.003635562901879989
9031-1902 40.55642244665621 0.0004476534496154965 0.0004943934064257216 40.643550584248096 0.04710787800778323 0.49305621349008244 0.003293155579695333 0.0003660792112686743
9027-12704 40.925414561649646 0.0003039586539734529 0.00030917008925881973 41.09869391081625 0.03159826289481346 0.465769265365338 0.0471231761426917 0.0005515141869981335
8982-3703 41.37377527917978 0.00021833267916382187 0.00021878065341212493 41.56624722426892 0.047161861884229925 0.4361633434212563 0.273690177643411 0.0005418741294353203
7972-6103 40.46154768654983 0.0012918226521131354 0.001351291726920181 40.48529603827173 0.14690392510716585 0.9650495056048751 0.08217937330439434 0.0024051018504837153
9025-12704 40.334829026209 0.0009596247376832737 0.0011480785278682125 40.6923624558771 0.09350638115417272 0.5231574953608122 0.004654940608509489 0.0006993455510055219
7958-9101 40.49663761614147 0.0003668608337933419 0.00040243793935223896 40.600242830649755 0.06758206718292895 0.5110049702190699 0.0006424859137753576 0.00014968635586502224
9195-3703 40.70549745436944 0.0003158129566558337 0.00038489037906358665 41.05585000889289 0.010706889005033186 0.6509753368535396 0.40367953407410834 0.0011236930527780133
8080-12703 39.6056354030054 0.0016967685754777772 0.002822319494951154 40.15085639804132 0.09440567377145372 0.7470342175179879 0.037894738141125824 0.002707094511647368
9182-6102 41.35755738073123 0.000378373088767605 0.000378373088767605 41.590031387244586 0.026333310460280156 0.4342944819032518 0.11414384428657155 0.0007826684758751731
9193-12701 40.40257983128575 0.00020228403313581137 0.00020385964884187373 40.89336559515572 0.042606876200758995 0.43466955548395186 0.028826083874868423 0.00034776718096379936
8940-12702 40.990051051678826 0.0003403649032643952 0.00036378091366460466 41.56195243702374 0.03523741176307219 0.47375224608970123 0.15788761626983255 0.0007701440918993979
9183-3703 40.88001327244719 0.0003774513660771008 0.00037760310162515996 40.95935055396748 0.025715076781134872 0.4345402045423778 0.8481290753794236 0.015871572903664435
8993-12705 41.6879834818007 0.00011830018418377259 0.0001288121789359594 41.97081980287056 0.013154359901122495 0.5859897579600293 0.15630546416814012 0.00023073368074963372
8992-3702 40.148706526282616 0.0008258156277259919 0.0008784210875018329 40.15175764146273 0.07580737182733324 0.5082991192845677 0.07583061945638746 0.0016564996152035117
9485-12705 40.952243238432146 0.0002785495175680419 0.0003418764915325776 41.261188917584875 0.022725403069211246 0.6280510521002793 0.32670229348671487 0.0008353220270023914
9487-3702 40.823387626812256 0.0004345045100335 0.0004364162837718001 40.931220253646686 0.14553657601049938 0.4350553664212695 0.024191836047466612 0.0007164548335251233
8989-3703 40.483578924099405 0.0005772678961068569 0.0005909909186104758 40.8061532037522 0.05296074284577908 0.44950933300268286 0.10736642142301805 0.0012087719360925418
8984-9102 39.81695215687572 0.0016712114372314142 0.0019233559940341825 39.858984662628956 0.05785027518483075 0.8093164126632348 0.06187000271824499 0.003208755666652498
8983-12701 40.154232856596806 0.0009751621305136549 0.0010477298909070216 40.46322297680516 0.05828691571897467 0.5030019272856747 0.21778873190363127 0.0024636310328593237
8311-6104 40.81768727190991 0.0003048553449096822 0.0004376257080092735 41.47367277673139 0.01987877200784938 0.6308072636054802 0.8327868644382019 0.011229714485242985
8309-12701 40.16304089768377 0.004071564479364694 0.004563969522128132 40.90884077054846 0.12140796203754932 0.7148331762189978 0.4771134081924969 0.017551705817550434
9507-12704 39.77987516421432 0.0015663712823661398 0.001829503877428228 40.65502701018747 0.09733119260003543 0.5381593853934945 0.37629861648443097 0.005090817069693746
9507-12705 40.44493678841943 0.0004579526452237163 0.0004850221632402563 40.68235090100289 0.06103208086501662 0.4827610074784325 0.05432034490555935 0.0008182538178243024
9508-12704 40.52855777281459 0.0020082326313506224 0.002772952662234985 41.04723781200816 0.10597112411554388 0.7466220110113924 0.1957182254281767 0.00486648411631696
9508-3704 40.30517199281095 0.0005040007626283406 0.0005858271816994169 40.788624335299346 0.07419378363627674 0.4973101483042507 0.007980992635684187 0.000785523527608374
9024-12705 40.38360208694355 0.002678726956227516 0.0032571957867794286 40.86689724350048 0.07855556957698528 0.7295107486858217 0.2696964289139386 0.00729771677302654
9488-3702 39.51441023355078 0.0012300254250121768 0.0013190148236767996 39.70349391130945 0.122076895711158 0.457228822767106 0.01716765935828276 0.0016898012698378635
9502-9101 40.375755008007225 0.00319075391967114 0.00336887676622062 40.32750853049645 283.826347614339 0.4981966185284875 0.04604680813175177 0.004693635593852048
9502-12703 41.53642054455979 0.00016074901492628264 0.00016208622867927585 41.93654447790101 0.026106940622234696 0.4872573886337073 0.19741999660356285 0.0003601146412105813
9511-12704 40.82338867062141 0.0005376104209158046 0.0006182864423847541 41.01018756569444 0.05692939574097231 0.5698313681721936 0.0357528439248548 0.0009900536768038925
9511-6104 40.07655071991609 0.002771428573965068 0.0028055085813369182 39.9508799513009 0.1832647422237407 0.43982810674089856 0.409634042337364 0.010016557178758772
8990-12705 40.796239307709364 0.00025831290008264174 0.00026407440766118524 41.00409472317518 0.04142124350921798 0.4594645166245243 0.003109025751446968 0.0002195746044444981
