# the excluded, use_AGN is True, use_composite is False
plateifu ra dec z psf mangaid BPT_x BPT_y EW_Ha is_limit 
8138-12702 115.316252031 44.9160264027 0.0500591 2.41339 1-338963 -0.4390905797481537 -0.37069767713546753 17.687084197998047 0 
8081-3704 49.8214420421 -0.969631342939 0.0538098 2.48293 1-38014 -0.5693931579589844 -0.17792847752571106 76.69635772705078 0 
8081-1901 47.9148954163 0.781728582267 0.0270447 2.42039 1-37931 -0.6546722054481506 0.09258773922920227 61.2851676940918 0 
8081-1902 47.956254832 -0.00308683646097 0.0369601 2.45443 1-37923 -0.4546821415424347 -0.5528749227523804 25.662586212158203 0 
8081-6104 49.4836331115 1.04534962996 0.0366898 2.47898 1-38136 0.08935250341892242 0.5016317367553711 0.5856086611747742 0 
8081-3703 50.0738407878 0.523632230733 0.0241782 2.51811 1-109356 -0.4801739752292633 -0.26023250818252563 33.95021438598633 0 
8081-6101 49.9737624968 -1.14589957017 0.0403649 2.4976 1-38011 -0.4754442274570465 -0.41387099027633667 22.73967170715332 0 
8081-3702 49.9468538118 0.623822203484 0.0246549 2.42003 1-38166 -0.42337527871131897 -0.07278437912464142 2.590238332748413 0 
8081-6103 48.0654771418 0.24045156252 0.0380462 2.47583 1-37936 -0.5035880208015442 -0.13944858312606812 27.18335723876953 0 
8081-9102 49.8456932706 0.823469663765 0.0335656 2.49057 1-38160 -0.24517056345939636 -0.0160363856703043 6.315541744232178 0 
8081-9101 47.7721826741 -0.546537826618 0.0282047 2.46908 1-37727 -0.35887640714645386 -0.2973993122577667 14.345782279968262 0 
8081-12704 49.4063653965 0.815197441981 0.024074 2.48656 1-38138 -0.7829099893569946 0.16312086582183838 37.32790756225586 0 
8081-12703 50.3913688543 -0.178367722703 0.0252591 2.57438 1-38398 -0.18959255516529083 -0.07561294734477997 5.462227821350098 0 
8081-12701 48.196618271 -1.02285447351 0.0815271 2.4718 1-37671 0.07622583955526352 0.4349310100078583 1.1880152225494385 0 
8081-12705 50.19091 -0.85163 0.021737 2.47739 1-38000 -0.5172207355499268 -0.0909881740808487 2.8617959022521973 0 
8081-6102 49.940137223 -0.077189233391 0.0369212 2.47311 1-38033 0.15928253531455994 0.643545925617218 1.7050268650054932 0 
8081-12702 47.7587038228 -0.182277836162 0.0358869 2.44569 1-37730 -0.6860193610191345 -0.005548879504203796 11.763045310974121 0 
8132-1901 110.865858864 43.0516356107 0.10725 2.40435 1-377617 0.10881487280130386 0.23643088340759277 0.8826690316200256 0 
8132-12704 111.499296804 42.0166799187 0.0604213 2.50577 1-548004 0.05734509229660034 0.49179893732070923 1.1005445718765259 0 
8132-6104 112.428340308 41.901214769 0.0871271 2.53706 1-377508 0.13155774772167206 0.6304899454116821 0.36138400435447693 0 
8132-12702 110.888511167 41.4349068759 0.0276224 2.50497 1-377221 0.08705171942710876 0.6920111775398254 1.0636396408081055 0 
8132-6102 111.138150035 41.9506135859 0.0265521 2.50848 1-377378 -0.2716980576515198 -0.09356027096509933 6.57968807220459 0 
8132-9102 112.003440278 41.9187683491 0.0583884 2.54392 1-548033 0.03552999347448349 0.5229976177215576 0.697948694229126 0 
8132-12705 111.936858786 42.1015119728 0.056723 2.54098 1-548025 -0.28130245208740234 -0.26406508684158325 5.202518463134766 0 
8132-3702 110.556154654 42.1836428542 0.0443854 2.53166 1-377321 -0.5985041260719299 -0.050714194774627686 61.7988166809082 0 
8132-3703 111.602864657 43.0485628876 0.0252964 2.46492 1-377576 -0.5697287917137146 -0.14454962313175201 20.68130874633789 0 
8132-3704 113.255207148 42.4251221385 0.0270996 2.6274 1-338633 -0.007830973714590073 0.7965285778045654 0.8345487117767334 0 
8132-12703 113.266875521 42.4724616081 0.116056 2.65934 1-338629 -0.2562634348869324 -0.1310601830482483 5.445704460144043 0 
8132-12701 110.517196768 42.4213792365 0.135844 2.48904 1-547999 0.09267844259738922 -0.16148675978183746 0.6249687075614929 0 
8132-9101 111.938062776 42.1806755052 0.0230548 2.54969 1-377560 -0.4727606177330017 -0.5596715211868286 15.093222618103027 0 
8133-1901 112.855930903 45.3094822197 0.0791705 2.70265 1-377986 -0.5999970436096191 -0.15307247638702393 23.822246551513672 0 
8133-6103 113.284972917 44.5509699475 0.131113 2.67322 1-567948 0.036392271518707275 0.28678205609321594 2.1699059009552 0 
8133-6101 113.355304783 44.1864789289 0.0556127 2.63359 1-377781 0.16752001643180847 0.49324941635131836 0.6262718439102173 0 
8133-3701 112.079253021 43.3021184405 0.0437045 2.65885 1-377686 -0.23915782570838928 -0.4815793037414551 13.645050048828125 0 
8133-12705 113.747217977 43.4725190638 0.130943 2.6143 1-377841 -0.20306478440761566 -0.3309668302536011 6.6507463455200195 0 
8133-9101 111.823845471 43.7848781245 0.0564511 2.65518 1-377679 -0.2625799775123596 -0.2539122402667999 9.2466459274292 0 
8133-3702 112.654605418 45.21218635 0.0688029 2.63982 1-377990 0.1736949235200882 0.5223569869995117 0.768017053604126 0 
8133-3704 112.514768348 43.3791832689 0.0263614 2.65973 1-377702 -1.143696665763855 0.42678865790367126 67.14007568359375 0 
8133-9102 112.721756162 43.5007438516 0.143514 2.60518 1-377720 -0.17985950410366058 -0.04962078481912613 4.607767581939697 0 
8134-3701 113.326608857 46.3481928774 0.127436 2.47208 1-378237 0.015229661948978901 0.2689977288246155 2.370039224624634 0 
8134-1901 113.400181444 45.9433769279 0.0766511 2.45666 1-378039 -0.45207005739212036 -0.5816795229911804 32.4559211730957 0 
8134-12702 114.455928451 46.3976622911 0.0321263 2.47743 1-378164 -0.41538166999816895 -0.5799508094787598 7.928703308105469 0 
8134-12703 114.4736549 47.9572200413 0.0209707 2.53565 1-378271 -0.5068700313568115 -0.42028364539146423 21.33244514465332 0 
8134-6101 116.577192812 46.8175802205 0.0755978 2.53219 1-339218 -0.17665019631385803 0.1474159061908722 1.2545011043548584 0 
8134-6103 114.767592195 48.1290854981 0.0363473 2.54124 1-548075 -0.5299503803253174 -0.26744648814201355 38.60357666015625 0 
8134-12705 114.673017412 45.9436549273 0.0178659 2.39873 1-378182 -0.4537406265735626 -0.3560357689857483 6.53802490234375 0 
8134-12701 112.69868022 46.0101157292 0.0212 2.44366 1-377978 -0.5397325754165649 -0.20895877480506897 14.417333602905273 0 
8134-6102 114.924507865 45.912609695 0.0319834 2.47952 1-378148 0.2268655151128769 0.8032042980194092 0.5264612436294556 0 
8134-6104 116.28665 47.55237 0.0212825 2.5134 1-378373 -0.9108902812004089 0.3247385621070862 31.679941177368164 0 
8134-9102 116.280206992 46.0724212288 0.0312375 2.48305 1-339163 0.1702674925327301 0.46388790011405945 2.9448142051696777 0 
8134-3704 115.238060984 45.2922028227 0.0435213 2.39874 1-338911 0.06348031014204025 0.4315963387489319 1.1576451063156128 0 
8134-12704 114.733630043 47.4737808791 0.0810436 2.42557 1-548076 -0.23573745787143707 -0.0983969122171402 2.4890735149383545 0 
8247-3703 136.842484254 43.275431327 0.0415027 2.75577 1-137799 -0.02336781471967697 0.5085464715957642 0.9329028725624084 0 
8247-1901 137.06962848 42.1641416054 0.0246684 2.73366 1-558242 -0.13672982156276703 0.21712088584899902 1.659986972808838 0 
8247-6103 136.719982444 41.4082517095 0.0273577 2.7972 1-217050 0.030657019466161728 0.5508093237876892 1.826135516166687 0 
