plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
10221-6104 3.1511333923146245 0.07875279074774086 3.1424934773014175 0.1497137755863856 3.0355020179699794 0.19412938583058503 0 1.0 262 0
9503-12701 3.383358391325029 0.053994945666734934 3.376296536837542 0.1 3.2159359726189494 0.1 1 0.08581524482584553 170 1
9503-6102 3.34390536112772 0.05960980468905924 3.3233836939831187 0.1 3.0667079744703742 0.1 1 0.2894736842105263 297 1
9503-3704 3.2719040099466445 0.10461520722929896 3.363351127253199 0.1 2.403576129213913 0.1 1 0.2933104631217839 171 0
9499-12703 3.3136454106464592 0.08125452988683414 3.3136454106464592 0.1 3.012615414982478 0.1 1 0.03795546558704453 75 0
9499-6104 3.421777768567354 0.047205620185049355 3.424796035109911 0.050970230093438075 3.3234485366364295 0.07071836263671186 0 0.2957042957042957 296 0
9499-6101 3.4403978757744875 0.07341418051178875 3.471274442247557 0.1 3.2408255208692833 0.1 1 0.29493087557603687 192 0
10215-1902 3.284261110064661 0.09225326916163931 3.264843958507922 0.10147218654349609 3.0431724464926586 0.23864356363583009 0 0.5130434782608696 177 0
9495-1901 2.900558024048969 0.08887663623020087 2.888872265723774 0.1 2.591772563688225 0.1 1 0.7563025210084033 90 1
8723-6104 -3.038154446630915 217147.2409516259 -3.038154446630915 0.1 -3.038154446630915 0.1 1 0.923728813559322 109 0
9489-6104 3.0768681436274172 0.07494820816427387 3.0752446109632037 0.1 2.481242262304865 0.1 1 0.07356507679870655 91 1
8998-12705 3.6320682945343266 0.0753983475526479 3.7247320484712008 0.1 2.944680162748123 0.1 1 0.04473197781885398 121 0
8981-6104 3.6010941751534276 0.07970682455565634 3.592390587631549 0.1 3.212530859077056 0.1 1 0.23086574654956085 184 1
8988-6102 3.6529261852800956 0.07251306782680648 3.6418101803746343 0.1 3.5388260196543846 0.1 1 0.39670468948035487 313 1
10514-12705 3.196867158912103 0.06680409146187674 3.256350193443622 0.06399783874538978 3.078013421551728 0.09457188503534629 0 0.4377358490566038 232 0
10514-9102 3.0951728214276595 0.05935614594570153 3.0967101486325888 0.1 2.6087115404538537 0.1 1 0.44 550 1
10510-12704 2.527647062354981 0.04963948148483937 2.666246563373282 0.07508713538612426 2.6221396165897786 0.0903881363927323 0 0.06041512231282432 163 1
